Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
Digital Marketing Analytics/ Campaign Performance Analytics,Global Talent Exchange,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analytics-work-from-home-job-internship-at-leeza-exim-pvt-ltd-at-leeza-exim-pvt-ltd-3740345634?refId=ovQe4mtAav4wVIn%2BtLohtg%3D%3D&trackingId=aqUxr%2BRVMWkQs3WaSq7w6g%3D%3D&position=23&pageNum=17&trk=public_jobs_jserp-result_search-card,2 days ago
"Business Intelligence Engineer, Amazon Appstore",Amazon,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/assistant-manager-manager-business-analytics-strategy-at-payu-3587651723?refId=ovQe4mtAav4wVIn%2BtLohtg%3D%3D&trackingId=8z6qcOkOrzxGR3ELtLWCpg%3D%3D&position=24&pageNum=17&trk=public_jobs_jserp-result_search-card,2 days ago
Risk-Bengaluru-Analyst-Quantitative Engineering,Goldman Sachs,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/global-head-of-delivery-analytics-data-science-at-webologix-ltd-inc-3755401993?refId=ovQe4mtAav4wVIn%2BtLohtg%3D%3D&trackingId=TSEZ6f5Ig6wgpOYb5GaE8A%3D%3D&position=25&pageNum=17&trk=public_jobs_jserp-result_search-card,1 month ago
Data Analyst,Alliance Recruitment Agency,None,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/interesting-job-opportunity-data-scientist-python-sql-at-awign-3714349080?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=D2Tsh86eIgCrs0qfVak4vQ%3D%3D&position=1&pageNum=18&trk=public_jobs_jserp-result_search-card,1 week ago
Business/Data Analyst Analytics,Grazitti Interactive,None,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/adobe-analytics-at-tech-mahindra-3746366941?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=PcYgc8%2FFacgWuetUtarQgg%3D%3D&position=2&pageNum=18&trk=public_jobs_jserp-result_search-card,2 days ago
Business Intelligence Analyst,Endpoint Clinical,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/thoucentric-data-analyst-etl-data-warehousing-at-thoucentric-3684970983?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=M1cWY1fRq2T3mC7UJT9yOg%3D%3D&position=3&pageNum=18&trk=public_jobs_jserp-result_search-card,2 days ago
Data Analyst - ETL/SQL,Test Triangle,None,Greater Kolkata Area,https://in.linkedin.com/jobs/view/performance-marketing-analytics-lead-at-global-talent-exchange-3678926142?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=r%2Facg8WNCJCjTd5fCHuzvQ%3D%3D&position=5&pageNum=18&trk=public_jobs_jserp-result_search-card,7 months ago
Data Analytics work from home job/internship at Leeza Exim Pvt Ltd,Leeza Exim Pvt Ltd,None,India,https://in.linkedin.com/jobs/view/data-analyst-at-axis-my-india-3752616703?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=7%2FRQR1AmjiO28GHyg%2BWzPg%3D%3D&position=6&pageNum=18&trk=public_jobs_jserp-result_search-card,2 months ago
Assistant Manager/Manager - Business Analytics & Strategy,PayU,None,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/forensic-investigation-manager-at-pwc-india-3734519368?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=qGglAvPp6mptch8FEz6TGg%3D%3D&position=7&pageNum=18&trk=public_jobs_jserp-result_search-card,3 days ago
Global Head of Delivery - Analytics / Data Science,Webologix Ltd/ INC,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/manager-market-research-planning-at-tata-steel-3719372055?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=XqpiCI6GkIQlsgIPZ7nk3Q%3D%3D&position=8&pageNum=18&trk=public_jobs_jserp-result_search-card,4 days ago
Interesting Job Opportunity: Data Scientist - Python/SQL,Awign,None,Greater Kolkata Area,https://in.linkedin.com/jobs/view/data-lead-at-orion-innovation-3741228612?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=ZB0pWx2A9yiNOamtPCKxBQ%3D%3D&position=9&pageNum=18&trk=public_jobs_jserp-result_search-card,1 month ago
Adobe Analytics,Tech Mahindra,None,India,https://in.linkedin.com/jobs/view/senior-data-analyst-at-shiprocket-360-3740923884?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=y0ZPPgIwp9iwGRyOWeQjIg%3D%3D&position=10&pageNum=18&trk=public_jobs_jserp-result_search-card,3 months ago
Thoucentric - Data Analyst - ETL/Data Warehousing,Thoucentric,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/manager-business-analyst-and-planning-at-acme-services-3715623453?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=fDfuSMGRbb8p7EHhmdqnkA%3D%3D&position=11&pageNum=18&trk=public_jobs_jserp-result_search-card,1 month ago
Interesting Job Opportunity: Azure Data Analyst - Visualization,Annex India,None,"Surat, Gujarat, India",https://in.linkedin.com/jobs/view/senior-manager-machine-learning-data-science-at-rebel-foods-3732525688?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=mke5owiYoakzgsHnxlVVeQ%3D%3D&position=12&pageNum=18&trk=public_jobs_jserp-result_search-card,1 month ago
Performance Marketing Analytics Lead,Global Talent Exchange,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-solv-3752443218?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=thVxWYIbMB5S83ArhNrFww%3D%3D&position=13&pageNum=18&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Analyst,Axis My India,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/interesting-job-opportunity-transorg-analytics-data-scientist-r-python-sql-at-transorg-analytics-3735511039?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=p4Er702xVMOHhbXQTpsBSg%3D%3D&position=14&pageNum=18&trk=public_jobs_jserp-result_search-card,3 months ago
Forensic Investigation- Manager,PwC India,None,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/datastage-at-teksystems-global-services-in-india-3742458369?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=19KR9gkeAEcCO3E3fU2p7A%3D%3D&position=15&pageNum=18&trk=public_jobs_jserp-result_search-card,2 weeks ago
Manager Market Research & Planning,Tata Steel,None,"Kolkata, West Bengal, India",https://in.linkedin.com/jobs/view/power-bi-at-fusion-plus-solutions-inc-3733059609?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=YnAJA3uuA6tUikhhQgHeGg%3D%3D&position=16&pageNum=18&trk=public_jobs_jserp-result_search-card,3 months ago
Data Lead,Orion Innovation,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/teaching-assistant-artificial-intelligence-and-data-science-at-jio-institute-3754232979?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=g8uTPqfzeZCv8t0jLMRytw%3D%3D&position=17&pageNum=18&trk=public_jobs_jserp-result_search-card,2 weeks ago
Senior Data Analyst,Shiprocket 360,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/sr-analyst-data-analytics-at-salesforce-3756326256?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=ySdimWHk5ai5F95W0KPPTw%3D%3D&position=18&pageNum=18&trk=public_jobs_jserp-result_search-card,2 weeks ago
Manager Business Analyst and Planning,Acme Services,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-technogen-inc-3748189378?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=K1Ho4NxViBlIeQ2uHZaOAA%3D%3D&position=19&pageNum=18&trk=public_jobs_jserp-result_search-card,2 weeks ago
Senior Manager - Machine Learning & Data Science,Rebel Foods,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/interesting-job-opportunity-sigmoid-analytics-vice-president-data-analytics-at-sigmoid-3694224588?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=4RpVJYuDBKrI%2FE63zLhFzA%3D%3D&position=20&pageNum=18&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Scientist,Solv,None,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-at-square-yards-3679286700?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=3lYZS5zouA1usfjLpwbKUg%3D%3D&position=22&pageNum=18&trk=public_jobs_jserp-result_search-card,1 day ago
Interesting Job Opportunity: TransOrg Analytics - Data Scientist - R/Python/SQL,TransOrg Analytics,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-bi-data-product-analyst-at-rws-group-3748821308?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=lIbzCC%2F2g1OGxrRYhofn1Q%3D%3D&position=23&pageNum=18&trk=public_jobs_jserp-result_search-card,1 month ago
Datastage,TEKsystems Global Services in India,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-at-multi-recruit-3705951817?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=f46N0LYmJIUSURVOv6mZQw%3D%3D&position=24&pageNum=18&trk=public_jobs_jserp-result_search-card,2 months ago
Power BI,Fusion Plus Solutions Inc,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-e-junkie-3745207384?refId=LzF1BBD9ggLBNz%2BZgrdTuw%3D%3D&trackingId=sJBbliYAZxwgYaeX3jMZJQ%3D%3D&position=25&pageNum=18&trk=public_jobs_jserp-result_search-card,1 week ago
Teaching Assistant- Artificial Intelligence and data science,Jio Institute,None,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/power-bi-tableau-python-at-fusion-plus-solutions-inc-3731076674?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=uCZho4CrW6ZWu5g%2Bl2Kb4Q%3D%3D&position=2&pageNum=19&trk=public_jobs_jserp-result_search-card,1 month ago
Sr. Analyst - Data Analytics,Salesforce,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-data-science-at-payu-3686201466?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=eT5S3masw%2BpIP%2BQs3Ok8Eg%3D%3D&position=3&pageNum=19&trk=public_jobs_jserp-result_search-card,6 months ago
Data Scientist,"TechnoGen, Inc.",None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/qualitative-research-work-from-home-job-internship-at-the-nudge-foundation-at-the-nudge-institute-3748998042?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=BOPBd6GgCU%2FpcYLxfQNCWQ%3D%3D&position=4&pageNum=19&trk=public_jobs_jserp-result_search-card,1 month ago
Interesting Job Opportunity: Sigmoid Analytics - Vice President - Data Analytics,Sigmoid,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/enterprise-data-insights-head-at-ripplesindia-group-3712306192?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=IMIPaQ1uqj1df6SXE1NOYw%3D%3D&position=5&pageNum=19&trk=public_jobs_jserp-result_search-card,1 month ago
Data Science - Statistics work from home job/internship at Fittlyf,Fittlyf,None,India,https://in.linkedin.com/jobs/view/senior-data-analyst-at-nimbuspost-3736696648?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=a7RvEEuaYwED2%2FoQQTrxvA%3D%3D&position=6&pageNum=19&trk=public_jobs_jserp-result_search-card,2 days ago
Data Analyst,Square Yards,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-6-to-9-years-bengaluru-at-capgemini-3754501402?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=GtRBeTgaVoPZ%2FznuIWHBEg%3D%3D&position=7&pageNum=19&trk=public_jobs_jserp-result_search-card,3 days ago
Senior BI & Data Product Analyst,RWS Group,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-consultant-business-intelligence-at-trinity-life-sciences-3729180360?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=%2Bm7qde5oXiOr6dry%2FX75Kg%3D%3D&position=8&pageNum=19&trk=public_jobs_jserp-result_search-card,2 weeks ago
Business Analyst,Multi Recruit,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analyst-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3735086517?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=tsOuz0r1pixGVvSQtS9t0Q%3D%3D&position=9&pageNum=19&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst,E-Junkie,None,"Delhi, Delhi, India",https://in.linkedin.com/jobs/view/product-analyst-remote-bangalore-at-aryng-3713949052?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=YiZnyExzeEWO9mvnwXQHYg%3D%3D&position=10&pageNum=19&trk=public_jobs_jserp-result_search-card,2 weeks ago
Analytics work from home job/internship at Cerebry India Tech,Cerebry India Tech,None,India,https://in.linkedin.com/jobs/view/senior-business-systems-analyst-at-epsilon-india-3729777996?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=f59vcOC4V4Yo1wF0%2BLTebw%3D%3D&position=11&pageNum=19&trk=public_jobs_jserp-result_search-card,1 week ago
"Power BI, Tableau, Python",Fusion Plus Solutions Inc,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-turing-3731273528?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=bSowI1KtmQbWMYkCVUdAGQ%3D%3D&position=12&pageNum=19&trk=public_jobs_jserp-result_search-card,2 weeks ago
Business Analyst - Data Science,PayU,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-director-ibu-analytics-bi-a-at-eli-lilly-and-company-3754389985?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=6LGUJYofPiWdocS5WPQyZA%3D%3D&position=13&pageNum=19&trk=public_jobs_jserp-result_search-card,1 month ago
Qualitative Research work from home job/internship at The/Nudge Foundation,The/Nudge Institute,None,India,https://in.linkedin.com/jobs/view/data-analyst-at-vilvah-3695469736?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=GBW0vzAIC%2F0Cg%2B2ry%2FAqyQ%3D%3D&position=14&pageNum=19&trk=public_jobs_jserp-result_search-card,1 week ago
Enterprise Data & Insights - Head,RipplesIndia Group,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/sr-data-analyst-bi-developer-at-eversana-3736549477?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=%2FtVwjIdacNSxCp7PgQ6gww%3D%3D&position=16&pageNum=19&trk=public_jobs_jserp-result_search-card,2 days ago
Senior Data Analyst,NimbusPost,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-yo-hr-consultancy-3681440978?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=qTxnqoCwFgW2Qeu%2F%2FtaQEg%3D%3D&position=17&pageNum=19&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst | 6 to 9 years | Bengaluru,Capgemini,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/bioinformatics-analyst-at-lifelancer-3748493992?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=%2BL4KRH7oiS2RTfivab22BA%3D%3D&position=18&pageNum=19&trk=public_jobs_jserp-result_search-card,2 days ago
Associate Consultant-Business Intelligence,Trinity Life Sciences,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/global-people-analytics-senior-analyst-at-boston-consulting-group-bcg-3747574894?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=SXK5rBwLRRptmTkSdFN41g%3D%3D&position=19&pageNum=19&trk=public_jobs_jserp-result_search-card,1 day ago
Business Analyst,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/interesting-job-opportunity-astrotalk-product-analyst-sql-excel-at-astrotalk-3735506596?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=HESgN6hXz6TrVLPfE4n3Gg%3D%3D&position=20&pageNum=19&trk=public_jobs_jserp-result_search-card,4 days ago
Product Analyst - Remote - (Bangalore),Aryng,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/bi-consultant-cbs-at-codersbrain-3671808710?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=bLP871gAT56pX6iqwiEWQg%3D%3D&position=21&pageNum=19&trk=public_jobs_jserp-result_search-card,3 weeks ago
"Senior, Business Systems Analyst",Epsilon India,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/metrics-reporting-specialist-d-s-at-google-operations-center-3731611633?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=zwp6UE1j74iAsEf3Q9zyoA%3D%3D&position=22&pageNum=19&trk=public_jobs_jserp-result_search-card,4 months ago
Data Analyst,Turing,None,India,https://in.linkedin.com/jobs/view/marketing-analytics-and-operations-analyst-at-zendesk-3741346256?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=%2B%2FcTiWCzhtMobwdqM%2F8VAw%3D%3D&position=23&pageNum=19&trk=public_jobs_jserp-result_search-card,4 days ago
Associate Director - IBU Analytics - BI&A,Eli Lilly and Company,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-modeler-business-intelligence-data-warehousing-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3754542509?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=YX7QU%2ByBAd%2BoAA%2FZElHiNQ%3D%3D&position=24&pageNum=19&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Analyst,Vilvah,None,"Coimbatore, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-i-at-varite-inc-3731050364?refId=nlsHHY9j9woy5gVqTDY6tw%3D%3D&trackingId=qFz6%2Fkfpk%2FGNifhsYSZtwg%3D%3D&position=25&pageNum=19&trk=public_jobs_jserp-result_search-card,4 months ago
Data Analyst Vacancy,Divya Interprises,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/forensic-investigation-manager-at-pwc-india-3736211306?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=FCWeaybGvWWDHe4S6UaLoQ%3D%3D&position=1&pageNum=20&trk=public_jobs_jserp-result_search-card,2 weeks ago
"Sr. Data Analyst, BI Developer",EVERSANA,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-advanced-sql-experience-at-thoucentric-3688665299?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=cmJe%2FZ0fv%2B6XijaP02I5Aw%3D%3D&position=2&pageNum=20&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Analyst,YO HR Consultancy,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/cyber-r-r-data-analytics-associate-2-at-pwc-3754396336?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=TUFD3lShldHxUu0DHC0f0w%3D%3D&position=3&pageNum=20&trk=public_jobs_jserp-result_search-card,3 weeks ago
Bioinformatics Analyst,Lifelancer,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/bi-engineer-ii-data-analytics-global-ar-data-analytics-at-amazon-3747095415?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=tdvwPdYtxW3Q%2BTgz1ofuGQ%3D%3D&position=4&pageNum=20&trk=public_jobs_jserp-result_search-card,1 month ago
Global People Analytics Senior Analyst,Boston Consulting Group (BCG),None,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/manager-business-intelligence-reporting-at-axa-xl-3684940860?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=ObaNFEbzdSLXC04UEEuFIg%3D%3D&position=5&pageNum=20&trk=public_jobs_jserp-result_search-card,1 month ago
Interesting Job Opportunity: Astrotalk - Product Analyst - SQL/Excel,Astrotalk,None,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/lead-data-engineering-at-ventura-3740599611?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=6yOnipGR5YTsg9kFJ%2Bc7gA%3D%3D&position=6&pageNum=20&trk=public_jobs_jserp-result_search-card,1 week ago
BI Consultant_CBS,CodersBrain,None,"Bengaluru North, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-nimbuspost-3736697378?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=YeIC68IkRC%2FDiQOtXk6p6g%3D%3D&position=7&pageNum=20&trk=public_jobs_jserp-result_search-card,4 months ago
Metrics & Reporting Specialist - D&S,Google Operations Center,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/product-management-senior-product-analyst-consumer-product-clm-at-paytm-3748812123?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=fSq%2FvN4PANMmzZWfnHJmCw%3D%3D&position=8&pageNum=20&trk=public_jobs_jserp-result_search-card,2 weeks ago
Marketing Analytics and Operations Analyst,Zendesk,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/solution-cloud-data-architect-data-analytics-cloud-at-tech-mahindra-3729392406?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=sa7xKBL3kx5Y9EY3bCe45Q%3D%3D&position=9&pageNum=20&trk=public_jobs_jserp-result_search-card,1 month ago
Data Modeler - Business Intelligence/Data Warehousing,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-sql-python-at-awign-3725577076?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=6NASpBgfmgYFPO0KfKNxFQ%3D%3D&position=10&pageNum=20&trk=public_jobs_jserp-result_search-card,1 month ago
Data Analyst I,VARITE INC,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-engineer-data-science-consultant-business-intelligence-tools-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3734009862?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=JM6jZyOmYPM9%2BPRV21bpMg%3D%3D&position=11&pageNum=20&trk=public_jobs_jserp-result_search-card,2 months ago
Forensic Investigation- Manager,PwC India,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-turing-3731275915?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=Du3fqPGzrArDVhca2AWjzw%3D%3D&position=12&pageNum=20&trk=public_jobs_jserp-result_search-card,1 month ago
Data Analyst (Advanced SQL Experience),Thoucentric,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-manager-at-mitchell-martin-inc-3728477134?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=LBaHOd3X%2B7A3Tfkn00%2Bw7g%3D%3D&position=13&pageNum=20&trk=public_jobs_jserp-result_search-card,4 weeks ago
Cyber R&R - Data Analytics - Associate 2,PwC,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-governance-warehousing-manager-chennai-at-forbes-advisor-3750802933?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=p7pJwYpjaSFScovU3I%2FWUg%3D%3D&position=14&pageNum=20&trk=public_jobs_jserp-result_search-card,2 days ago
"BI Engineer II, Data Analytics, Global AR Data Analytics",Amazon,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/senior-analytics-engineer-t500-9455-at-delta-air-lines-3754933449?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=9ws5BMEBEOigvj5%2B5OMSSA%3D%3D&position=15&pageNum=20&trk=public_jobs_jserp-result_search-card,1 week ago
Manager - Business Intelligence & Reporting,AXA XL,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/analyst-ii-analytics-at-cvent-3715215618?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=VgiO%2BWTDixcDW4dl5TppTg%3D%3D&position=16&pageNum=20&trk=public_jobs_jserp-result_search-card,2 months ago
Lead-Data Engineering,Ventura,None,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/finance-analytics-work-from-home-job-internship-at-adsmit-media-at-adsmit-media-3746778982?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=HM1s9coIKBi3SG1no9Suhw%3D%3D&position=17&pageNum=20&trk=public_jobs_jserp-result_search-card,2 weeks ago
Senior Data Analyst,NimbusPost,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/marketing-data-analytics-%E2%80%93-audience-data-and-reporting-analyst-at-jpmorgan-chase-co-3747032679?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=7sm%2F%2BhS1u0h7Boc2WKQ8lw%3D%3D&position=18&pageNum=20&trk=public_jobs_jserp-result_search-card,7 months ago
Product Management - Senior Product Analyst - Consumer Product (CLM),Paytm,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/economics-analyst-at-mastercard-3741475246?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=7zrMJ15vSY%2F8puLHGNG2%2FQ%3D%3D&position=19&pageNum=20&trk=public_jobs_jserp-result_search-card,1 day ago
Solution Cloud Data Architect (Data Analytics & Cloud),Tech Mahindra,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/digital-analytics-executive-at-grazitti-interactive-3582866258?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=I1P4OG064pSbLIIT2OXoAw%3D%3D&position=20&pageNum=20&trk=public_jobs_jserp-result_search-card,2 days ago
Data Engineer - SQL/Python,Awign,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/mis-data-analytics-at-sourcetal-hiretech-pvt-ltd-3691132972?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=EvKUqTqtz91Kn1eOAuEaCg%3D%3D&position=21&pageNum=20&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Engineer/ Data Science Consultant - Business Intelligence Tools,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-healthsy-3745627184?refId=rYQ4OCuoGmSHvTeD%2BmwIGg%3D%3D&trackingId=1%2BaMN4LCg6J1d5vCqSEfXg%3D%3D&position=22&pageNum=20&trk=public_jobs_jserp-result_search-card,2 months ago
